year,month,season,region
1924,5,Spring,Unknown
1924,6,Summer,Unknown
1924,7,Summer,South
1924,8,Summer,South
1924,9,Autumn,South
1924,10,Autumn,South
1924,11,Autumn,Unknown
1924,12,Winter,Unknown
1925,1,Winter,Unknown
1925,2,Winter,Unknown
1925,3,Spring,Unknown
1925,4,Spring,South
1925,5,Spring,Unknown
1925,6,Summer,South
1925,7,Summer,South
1925,8,Summer,South
1925,9,Autumn,South
1925,10,Autumn,South
1925,11,Autumn,South
1925,12,Winter,Unknown
1926,1,Winter,Unknown
1926,2,Winter,Unknown
1926,3,Spring,Unknown
1926,4,Spring,Unknown
1926,5,Spring,Unknown
1926,6,Summer,South
1926,7,Summer,Unknown
1926,8,Summer,South
1926,9,Autumn,South
1926,10,Autumn,Unknown
1926,11,Autumn,Unknown
1926,12,Winter,Unknown
1927,1,Winter,Unknown
1927,2,Winter,Unknown
1927,3,Spring,Unknown
1927,4,Spring,Unknown
1927,5,Spring,Unknown
1927,6,Summer,South
1927,7,Summer,Unknown
1927,8,Summer,South
1927,9,Autumn,South
1927,10,Autumn,South
1927,11,Autumn,South
1927,12,Winter,Unknown
1928,1,Winter,Unknown
1928,2,Winter,Unknown
1928,3,Spring,Unknown
1928,4,Spring,Unknown
1928,5,Spring,South
1928,6,Summer,South
1928,7,Summer,South
1928,8,Summer,South
1928,9,Autumn,South
1928,10,Autumn,South
1928,11,Autumn,South
1928,12,Winter,Unknown
1929,1,Winter,Unknown
1929,2,Winter,Unknown
1929,3,Spring,Unknown
1929,4,Spring,Unknown
1929,5,Spring,Unknown
1929,6,Summer,South
1929,7,Summer,Unknown
1929,8,Summer,Unknown
1929,9,Autumn,South
1929,10,Autumn,South
1929,11,Autumn,Unknown
1929,12,Winter,Unknown
1930,1,Winter,Unknown
1930,2,Winter,South
1930,3,Spring,Unknown
1930,4,Spring,Unknown
1930,5,Spring,South
1930,6,Summer,Unknown
1930,7,Summer,South
1930,8,Summer,South
1930,9,Autumn,South
1930,10,Autumn,Unknown
1930,11,Autumn,Unknown
1930,12,Winter,Unknown
1931,1,Winter,Unknown
1931,2,Winter,Unknown
1931,3,Spring,Unknown
1931,4,Spring,Unknown
1931,5,Spring,Unknown
1931,6,Summer,South
1931,7,Summer,Unknown
1931,8,Summer,South
1931,9,Autumn,South
1931,10,Autumn,South
1931,11,Autumn,South
1931,12,Winter,Unknown
1932,1,Winter,Unknown
1932,2,Winter,Unknown
1932,3,Spring,Unknown
1932,4,Spring,Unknown
1932,5,Spring,Unknown
1932,6,Summer,Unknown
1932,7,Summer,Unknown
1932,8,Summer,South
1932,9,Autumn,South
1932,10,Autumn,South
1932,11,Autumn,South
1932,12,Winter,South
1933,1,Winter,Unknown
1933,2,Winter,Unknown
1933,3,Spring,Unknown
1933,4,Spring,South
1933,5,Spring,South
1933,6,Summer,Unknown
1933,7,Summer,South
1933,8,Summer,South
1933,9,Autumn,South
1933,10,Autumn,South
1933,11,Autumn,South
1933,12,Winter,Unknown
1934,1,Winter,Unknown
1934,2,Winter,Unknown
1934,3,Spring,Unknown
1934,4,Spring,South
1934,5,Spring,Unknown
1934,6,Summer,Unknown
1934,7,Summer,South
1934,8,Summer,South
1934,9,Autumn,South
1934,10,Autumn,South
1934,11,Autumn,Unknown
1934,12,Winter,South
1935,1,Winter,Unknown
1935,2,Winter,Unknown
1935,3,Spring,Unknown
1935,4,Spring,Unknown
1935,5,Spring,Unknown
1935,6,Summer,Unknown
1935,7,Summer,South
1935,8,Summer,South
1935,9,Autumn,South
1935,10,Autumn,South
1935,11,Autumn,South
1935,12,Winter,Unknown
1936,1,Winter,Unknown
1936,2,Winter,Unknown
1936,3,Spring,Unknown
1936,4,Spring,Unknown
1936,5,Spring,Unknown
1936,6,Summer,Unknown
1936,7,Summer,South
1936,8,Summer,South
1936,9,Autumn,South
1936,10,Autumn,South
1936,11,Autumn,South
1936,12,Winter,Unknown
1937,1,Winter,Unknown
1937,2,Winter,Unknown
1937,3,Spring,Unknown
1937,4,Spring,Unknown
1937,5,Spring,Unknown
1937,6,Summer,Unknown
1937,7,Summer,South
1937,8,Summer,South
1937,9,Autumn,South
1937,10,Autumn,South
1937,11,Autumn,Unknown
1937,12,Winter,Unknown
1938,1,Winter,Unknown
1938,2,Winter,Unknown
1938,3,Spring,Unknown
1938,4,Spring,South
1938,5,Spring,South
1938,6,Summer,South
1938,7,Summer,Unknown
1938,8,Summer,South
1938,9,Autumn,South
1938,10,Autumn,South
1938,11,Autumn,Unknown
1938,12,Winter,Unknown
1939,1,Winter,Unknown
1939,2,Winter,Unknown
1939,3,Spring,Unknown
1939,4,Spring,Unknown
1939,5,Spring,South
1939,6,Summer,Unknown
1939,7,Summer,South
1939,8,Summer,South
1939,9,Autumn,South
1939,10,Autumn,South
1939,11,Autumn,Unknown
1939,12,Winter,South
1940,1,Winter,Unknown
1940,2,Winter,Unknown
1940,3,Spring,Unknown
1940,4,Spring,Unknown
1940,5,Spring,Unknown
1940,6,Summer,Unknown
1940,7,Summer,South
1940,8,Summer,South
1940,9,Autumn,South
1940,10,Autumn,Unknown
1940,11,Autumn,South
1940,12,Winter,Unknown
1941,1,Winter,Unknown
1941,2,Winter,Unknown
1941,3,Spring,Unknown
1941,4,Spring,Unknown
1941,5,Spring,Unknown
1941,6,Summer,South
1941,7,Summer,South
1941,8,Summer,South
1941,9,Autumn,South
1941,10,Autumn,South
1941,11,Autumn,Unknown
1941,12,Winter,Unknown
1942,1,Winter,Unknown
1942,2,Winter,Unknown
1942,3,Spring,Unknown
1942,4,Spring,Unknown
1942,5,Spring,South
1942,6,Summer,Unknown
1942,7,Summer,South
1942,8,Summer,South
1942,9,Autumn,South
1942,10,Autumn,South
1942,11,Autumn,Unknown
1942,12,Winter,Unknown
1943,1,Winter,Unknown
1943,2,Winter,Unknown
1943,3,Spring,Unknown
1943,4,Spring,Unknown
1943,5,Spring,South
1943,6,Summer,South
1943,7,Summer,South
1943,8,Summer,South
1943,9,Autumn,South
1943,10,Autumn,South
1943,11,Autumn,Unknown
1943,12,Winter,Unknown
1944,1,Winter,Unknown
1944,2,Winter,Unknown
1944,3,Spring,Unknown
1944,4,Spring,Unknown
1944,5,Spring,South
1944,6,Summer,South
1944,7,Summer,South
1944,8,Summer,South
1944,9,Autumn,South
1944,10,Autumn,South
1944,11,Autumn,South
1944,12,Winter,Unknown
1945,1,Winter,Unknown
1945,2,Winter,Unknown
1945,3,Spring,Unknown
1945,4,Spring,Unknown
1945,5,Spring,South
1945,6,Summer,South
1945,7,Summer,South
1945,8,Summer,South
1945,9,Autumn,Central
1945,10,Autumn,South
1945,11,Autumn,Unknown
1945,12,Winter,South
1946,1,Winter,Unknown
1946,2,Winter,Unknown
1946,3,Spring,Unknown
1946,4,Spring,Unknown
1946,5,Spring,Unknown
1946,6,Summer,South
1946,7,Summer,South
1946,8,Summer,South
1946,9,Autumn,South
1946,10,Autumn,South
1946,11,Autumn,South
1946,12,Winter,Unknown
1947,1,Winter,Unknown
1947,2,Winter,Unknown
1947,3,Spring,Unknown
1947,4,Spring,Unknown
1947,5,Spring,South
1947,6,Summer,Unknown
1947,7,Summer,South
1947,8,Summer,South
1947,9,Autumn,South
1947,10,Autumn,South
1947,11,Autumn,South
1947,12,Winter,South
1948,1,Winter,Unknown
1948,2,Winter,Unknown
1948,3,Spring,Unknown
1948,4,Spring,Unknown
1948,5,Spring,South
1948,6,Summer,South
1948,7,Summer,Central
1948,8,Summer,South
1948,9,Autumn,South
1948,10,Autumn,South
1948,11,Autumn,South
1948,12,Winter,Unknown
1949,1,Winter,Unknown
1949,2,Winter,Unknown
1949,3,Spring,Unknown
1949,4,Spring,Unknown
1949,5,Spring,Unknown
1949,6,Summer,South
1949,7,Summer,South
1949,8,Summer,South
1949,9,Autumn,South
1949,10,Autumn,South
1949,11,Autumn,South
1949,12,Winter,South
1950,1,Winter,Unknown
1950,2,Winter,Unknown
1950,3,Spring,Unknown
1950,4,Spring,Unknown
1950,5,Spring,South
1950,6,Summer,South
1950,7,Summer,South
1950,8,Summer,South
1950,9,Autumn,South
1950,10,Autumn,South
1950,11,Autumn,South
1950,12,Winter,Unknown
1951,1,Winter,Unknown
1951,2,Winter,South
1951,3,Spring,Unknown
1951,4,Spring,Unknown
1951,5,Spring,South
1951,6,Summer,South
1951,7,Summer,South
1951,8,Summer,South
1951,9,Autumn,Central
1951,10,Autumn,South
1951,11,Autumn,Unknown
1951,12,Winter,South
1952,1,Winter,Unknown
1952,2,Winter,Unknown
1952,3,Spring,Unknown
1952,4,Spring,Unknown
1952,5,Spring,Unknown
1952,6,Summer,South
1952,7,Summer,South
1952,8,Summer,South
1952,9,Autumn,Central
1952,10,Autumn,South
1952,11,Autumn,South
1952,12,Winter,Unknown
1953,1,Winter,Unknown
1953,2,Winter,Unknown
1953,3,Spring,Unknown
1953,4,Spring,Unknown
1953,5,Spring,Unknown
1953,6,Summer,South
1953,7,Summer,North
1953,8,Summer,South
1953,9,Autumn,South
1953,10,Autumn,South
1953,11,Autumn,Unknown
1953,12,Winter,South
1954,1,Winter,Unknown
1954,2,Winter,Unknown
1954,3,Spring,Unknown
1954,4,Spring,Unknown
1954,5,Spring,Unknown
1954,6,Summer,Unknown
1954,7,Summer,South
1954,8,Summer,South
1954,9,Autumn,South
1954,10,Autumn,South
1954,11,Autumn,South
1954,12,Winter,Unknown
1955,1,Winter,Unknown
1955,2,Winter,Unknown
1955,3,Spring,Unknown
1955,4,Spring,South
1955,5,Spring,Unknown
1955,6,Summer,South
1955,7,Summer,South
1955,8,Summer,South
1955,9,Autumn,South
1955,10,Autumn,South
1955,11,Autumn,Unknown
1955,12,Winter,South
1956,1,Winter,Unknown
1956,2,Winter,Unknown
1956,3,Spring,Unknown
1956,4,Spring,South
1956,5,Spring,Unknown
1956,6,Summer,Unknown
1956,7,Summer,South
1956,8,Summer,South
1956,9,Autumn,South
1956,10,Autumn,Unknown
1956,11,Autumn,Unknown
1956,12,Winter,Unknown
1957,1,Winter,South
1957,2,Winter,Unknown
1957,3,Spring,Unknown
1957,4,Spring,Unknown
1957,5,Spring,Unknown
1957,6,Summer,South
1957,7,Summer,Unknown
1957,8,Summer,South
1957,9,Autumn,South
1957,10,Autumn,South
1957,11,Autumn,South
1957,12,Winter,Unknown
1958,1,Winter,Unknown
1958,2,Winter,Unknown
1958,3,Spring,Unknown
1958,4,Spring,Unknown
1958,5,Spring,South
1958,6,Summer,South
1958,7,Summer,South
1958,8,Summer,South
1958,9,Autumn,South
1958,10,Autumn,Unknown
1958,11,Autumn,South
1958,12,Winter,South
1959,1,Winter,Unknown
1959,2,Winter,Unknown
1959,3,Spring,Unknown
1959,4,Spring,South
1959,5,Spring,Unknown
1959,6,Summer,Unknown
1959,7,Summer,Central
1959,8,Summer,South
1959,9,Autumn,South
1959,10,Autumn,South
1959,11,Autumn,South
1959,12,Winter,Unknown
1960,1,Winter,Unknown
1960,2,Winter,Unknown
1960,3,Spring,Unknown
1960,4,Spring,Unknown
1960,5,Spring,South
1960,6,Summer,South
1960,7,Summer,South
1960,8,Summer,South
1960,9,Autumn,South
1960,10,Autumn,South
1960,11,Autumn,Unknown
1960,12,Winter,South
1961,1,Winter,Unknown
1961,2,Winter,Unknown
1961,3,Spring,Unknown
1961,4,Spring,South
1961,5,Spring,Central
1961,6,Summer,South
1961,7,Summer,South
1961,8,Summer,South
1961,9,Autumn,South
1961,10,Autumn,South
1961,11,Autumn,South
1961,12,Winter,Unknown
1962,1,Winter,Unknown
1962,2,Winter,Unknown
1962,3,Spring,Unknown
1962,4,Spring,South
1962,5,Spring,South
1962,6,Summer,Unknown
1962,7,Summer,South
1962,8,Summer,South
1962,9,Autumn,South
1962,10,Autumn,South
1962,11,Autumn,South
1962,12,Winter,Unknown
1963,1,Winter,Unknown
1963,2,Winter,Unknown
1963,3,Spring,Unknown
1963,4,Spring,Unknown
1963,5,Spring,Unknown
1963,6,Summer,South
1963,7,Summer,Central
1963,8,Summer,South
1963,9,Autumn,South
1963,10,Autumn,South
1963,11,Autumn,Unknown
1963,12,Winter,South
1964,1,Winter,Unknown
1964,2,Winter,Unknown
1964,3,Spring,Unknown
1964,4,Spring,Unknown
1964,5,Spring,South
1964,6,Summer,Unknown
1964,7,Summer,South
1964,8,Summer,South
1964,9,Autumn,South
1964,10,Autumn,South
1964,11,Autumn,Unknown
1964,12,Winter,South
1965,1,Winter,Unknown
1965,2,Winter,Unknown
1965,3,Spring,Unknown
1965,4,Spring,Unknown
1965,5,Spring,South
1965,6,Summer,South
1965,7,Summer,North
1965,8,Summer,South
1965,9,Autumn,South
1965,10,Autumn,South
1965,11,Autumn,South
1965,12,Winter,Unknown
1966,1,Winter,Unknown
1966,2,Winter,Unknown
1966,3,Spring,Unknown
1966,4,Spring,South
1966,5,Spring,South
1966,6,Summer,South
1966,7,Summer,South
1966,8,Summer,South
1966,9,Autumn,South
1966,10,Autumn,South
1966,11,Autumn,South
1966,12,Winter,Unknown
1967,1,Winter,Unknown
1967,2,Winter,Unknown
1967,3,Spring,Unknown
1967,4,Spring,South
1967,5,Spring,Unknown
1967,6,Summer,Unknown
1967,7,Summer,South
1967,8,Summer,South
1967,9,Autumn,South
1967,10,Autumn,South
1967,11,Autumn,South
1967,12,Winter,Unknown
1968,1,Winter,Unknown
1968,2,Winter,Unknown
1968,3,Spring,Unknown
1968,4,Spring,South
1968,5,Spring,Unknown
1968,6,Summer,South
1968,7,Summer,South
1968,8,Summer,South
1968,9,Autumn,South
1968,10,Autumn,South
1968,11,Autumn,South
1968,12,Winter,Unknown
1969,1,Winter,Unknown
1969,2,Winter,Unknown
1969,3,Spring,Unknown
1969,4,Spring,Unknown
1969,5,Spring,Unknown
1969,6,Summer,Unknown
1969,7,Summer,Unknown
1969,8,Summer,South
1969,9,Autumn,South
1969,10,Autumn,South
1969,11,Autumn,South
1969,12,Winter,Unknown
1970,1,Winter,Unknown
1970,2,Winter,Unknown
1970,3,Spring,Unknown
1970,4,Spring,Unknown
1970,5,Spring,Unknown
1970,6,Summer,South
1970,7,Summer,South
1970,8,Summer,South
1970,9,Autumn,South
1970,10,Autumn,South
1970,11,Autumn,Unknown
1970,12,Winter,Unknown
1971,1,Winter,Unknown
1971,2,Winter,Unknown
1971,3,Spring,South
1971,4,Spring,South
1971,5,Spring,South
1971,6,Summer,Unknown
1971,7,Summer,South
1971,8,Summer,South
1971,9,Autumn,South
1971,10,Autumn,South
1971,11,Autumn,South
1971,12,Winter,Unknown
1972,1,Winter,Unknown
1972,2,Winter,Unknown
1972,3,Spring,Unknown
1972,4,Spring,Unknown
1972,5,Spring,Unknown
1972,6,Summer,South
1972,7,Summer,South
1972,8,Summer,South
1972,9,Autumn,South
1972,10,Autumn,South
1972,11,Autumn,South
1972,12,Winter,Unknown
1973,1,Winter,Unknown
1973,2,Winter,Unknown
1973,3,Spring,Unknown
1973,4,Spring,Unknown
1973,5,Spring,Unknown
1973,6,Summer,Unknown
1973,7,Summer,South
1973,8,Summer,South
1973,9,Autumn,Unknown
1973,10,Autumn,Unknown
1973,11,Autumn,Unknown
1973,12,Winter,Unknown
1974,1,Winter,Unknown
